"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Argentina4494",0.029614,0.065001,0.11079,0.16885,0.23545,0.31289,0.40043,0.49362,0.59459,0.68512,0.77565,0.88165,0.98732,1.0994,1.215,1.3308,1.4485,1.5653,1.688,1.8194
"Argentina4495",0.029631,0.06504,0.11084,0.16888,0.23545,0.31297,0.4005,0.4937,0.59473,0.685195,0.77566,0.88176,0.98738,1.0997,1.2152,1.3312,1.4487,1.5655,1.6883,1.8197
"Argentina4496",0.029631,0.06504,0.11084,0.16888,0.23545,0.31297,0.4005,0.4937,0.59473,0.685195,0.77566,0.88176,0.98738,1.0997,1.2152,1.3312,1.4487,1.5655,1.6883,1.8197
"Argentina4497",0.029631,0.06504,0.11084,0.16888,0.23545,0.31297,0.4005,0.4937,0.59473,0.685195,0.77566,0.88176,0.98738,1.0997,1.2152,1.3312,1.4487,1.5655,1.6883,1.8197
"Argentina4519",0.033169,0.07142,0.11975,0.18071,0.25048,0.33069,0.42202,0.51865,0.62155,0.715945,0.81034,0.91958,1.03,1.1433,1.2627,1.3844,1.5034,1.6234,1.7504,1.8852
"Argentina4534",0.036643,0.078705,0.13046,0.19439,0.26724,0.35041,0.44455,0.54474,0.65098,0.74754,0.8441,0.95601,1.0695,1.1863,1.3082,1.4316,1.556,1.6762,1.8047,1.9425
"Argentina4535",0.035899,0.077156,0.12832,0.19144,0.26351,0.3458,0.43929,0.53868,0.64467,0.74015,0.83563,0.94696,1.0587,1.1758,1.2958,1.4195,1.543,1.6622,1.7908,1.9277
"Argentina4536",0.035899,0.077156,0.12832,0.19144,0.26351,0.3458,0.43929,0.53868,0.64467,0.74015,0.83563,0.94696,1.0587,1.1758,1.2958,1.4195,1.543,1.6622,1.7908,1.9277
"Argentina4543",0.036643,0.078705,0.13046,0.19439,0.26724,0.35041,0.44455,0.54474,0.65098,0.74754,0.8441,0.95601,1.0695,1.1863,1.3082,1.4316,1.556,1.6762,1.8047,1.9425
"Argentina4544",0.036752,0.07893,0.13078,0.19479,0.26775,0.35097,0.44522,0.54559,0.65179,0.74842,0.84505,0.95726,1.0707,1.1876,1.3093,1.4332,1.5578,1.6782,1.8061,1.9441
"Argentina4545",0.037549,0.079152,0.12975,0.19389,0.26721,0.35019,0.44365,0.54353,0.65007,0.74868,0.84729,0.95999,1.073,1.1898,1.3114,1.4367,1.5591,1.6803,1.8099,1.9488
"Argentina4546",0.036752,0.07893,0.13078,0.19479,0.26775,0.35097,0.44522,0.54559,0.65179,0.74842,0.84505,0.95726,1.0707,1.1876,1.3093,1.4332,1.5578,1.6782,1.8061,1.9441
"Argentina4547",0.036752,0.07893,0.13078,0.19479,0.26775,0.35097,0.44522,0.54559,0.65179,0.74842,0.84505,0.95726,1.0707,1.1876,1.3093,1.4332,1.5578,1.6782,1.8061,1.9441
"Argentina4548",0.037549,0.079152,0.12975,0.19389,0.26721,0.35019,0.44365,0.54353,0.65007,0.74868,0.84729,0.95999,1.073,1.1898,1.3114,1.4367,1.5591,1.6803,1.8099,1.9488
"Argentina4549",0.037549,0.079152,0.12975,0.19389,0.26721,0.35019,0.44365,0.54353,0.65007,0.74868,0.84729,0.95999,1.073,1.1898,1.3114,1.4367,1.5591,1.6803,1.8099,1.9488
"Argentina4550",0.037549,0.079152,0.12975,0.19389,0.26721,0.35019,0.44365,0.54353,0.65007,0.74868,0.84729,0.95999,1.073,1.1898,1.3114,1.4367,1.5591,1.6803,1.8099,1.9488
"Argentina8424",0.030397,0.068075,0.11512,0.1743,0.241,0.31958,0.40791,0.49987,0.59979,0.69351,0.78723,0.89171,0.99876,1.11,1.225,1.344,1.4647,1.5817,1.7025,1.8346
"Argentina8564",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
"Argentina8566",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
"Argentina8567",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
"Argentina8568",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
"Argentina8570",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
"Argentina8571",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
"Argentina8572",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
